language,label,sample_key,pair_id,path,condition,original_score,counterfactual_score,delta_score
english,1,1002_english_real_1002,1002,english_griffinlim_eval_final/real_english/english_real_1002.wav,original,4.492405891418457,4.492405891418457,0.0
english,1,1002_english_real_1002,1002,english_griffinlim_eval_final/real_english/english_real_1002.wav,remove_low,4.492405891418457,1.4356337785720825,-3.0567721128463745
english,1,1002_english_real_1002,1002,english_griffinlim_eval_final/real_english/english_real_1002.wav,remove_mid,4.492405891418457,0.3127395510673523,-4.179666340351105
english,1,1002_english_real_1002,1002,english_griffinlim_eval_final/real_english/english_real_1002.wav,remove_high,4.492405891418457,4.209743022918701,-0.28266286849975586
english,1,1032_english_real_1032,1032,english_griffinlim_eval_final/real_english/english_real_1032.wav,original,5.30052375793457,5.30052375793457,0.0
english,1,1032_english_real_1032,1032,english_griffinlim_eval_final/real_english/english_real_1032.wav,remove_low,5.30052375793457,4.64501953125,-0.6555042266845703
english,1,1032_english_real_1032,1032,english_griffinlim_eval_final/real_english/english_real_1032.wav,remove_mid,5.30052375793457,4.450296878814697,-0.850226879119873
english,1,1032_english_real_1032,1032,english_griffinlim_eval_final/real_english/english_real_1032.wav,remove_high,5.30052375793457,5.241209983825684,-0.05931377410888672
english,1,1036_english_real_1036,1036,english_griffinlim_eval_final/real_english/english_real_1036.wav,original,-2.272487163543701,-2.272487163543701,0.0
english,1,1036_english_real_1036,1036,english_griffinlim_eval_final/real_english/english_real_1036.wav,remove_low,-2.272487163543701,3.759125232696533,6.031612396240234
english,1,1036_english_real_1036,1036,english_griffinlim_eval_final/real_english/english_real_1036.wav,remove_mid,-2.272487163543701,-0.510749340057373,1.7617378234863281
english,1,1036_english_real_1036,1036,english_griffinlim_eval_final/real_english/english_real_1036.wav,remove_high,-2.272487163543701,-1.2442189455032349,1.0282682180404663
english,1,1044_english_real_1044,1044,english_griffinlim_eval_final/real_english/english_real_1044.wav,original,-2.9728474617004395,-2.9728474617004395,0.0
