language,speaker,n_real,n_fake,real_mean_logit,fake_mean_logit,separation_real_minus_fake
hindi,00d8f7a5ea747472015787836b4694d24375a49cf2ca78088c1d29494110637aafa66bc0d135549c19cfc68886760475c2ae2584673c8d57e77eb82d3ddd6109,4,4,-2.517390638589859,-3.674375593662262,1.156984955072403
hindi,0175f4388a3ca66faae78ea57819f8aab986d188f874dde198e28b64248291dde8f43a6912b9de4854f9862a8f832961da3e9194bec9ebef96b1c9b66d956422,4,4,3.0025806687772274,-0.4441961497068405,3.446776818484068
hindi,0245f184ea5b6ed43fdf98061265386a868ff96b2566d123a88efdaaa7aeade1ce59fdd77595bf40a98fe15f578afaf6b4a2fbfbbf2a1e589d519238c07b799a,1,1,-0.5238009691238403,-1.1276119947433472,0.6038110256195068
hindi,0296590f079d0307e6a54bed03a9a137e124eae99c566ac40f5e14ff6f07084af6f1b3c11b51c8910d774cc6ae571696c616838249c2e12fe64eae03221496c8,5,5,3.0560250282287598,2.8201118260622025,0.2359132021665573
hindi,02a40eed38bf20ab1ddca1a5c60f5b2cadd5455be21c7a1ab8e87d65a6fec68495c0d24d8fecdfe3f9d132fdfa842dba33dca093df21b19f3d325519779d13d0,4,4,5.235572099685669,2.176155909895897,3.059416189789772
hindi,0303022c144407f09d8f97be16ba6f2c41ac249e162b24f7d213f0c8a10c4235a4dbd0f53c4d6bcd674ea939898fa29d241a0c183c8f8b5963f55ea5a5327379,5,5,5.5194899559021,3.2076449006795884,2.3118450552225114
hindi,038cbd3b3ba6f4aa92f2c4c86ba365b95aeb66bfafd37c2803b769b28c260573e0387b85d8ce77f0fea215ffc971b366a14916fe782fc7b0c238062ec238b0c3,3,3,4.169315576553345,2.090015451113383,2.079300125439962
hindi,04c41ef9e7a610b1bdb35d99443823570fcb9c9a4a63ba7855c471d73f6c1dbdf30796b0f86445c09f70057ce25436f51742b3a4829f5da39a0ebababbec6d59,2,2,0.5487983673810959,-2.794240117073059,3.343038484454155
hindi,05fd2a7f0d7cbe9acb1d838706b64a2ab489f6d0d2e7ff3a4243b1bb89ca3c1bc2e8dfd22bf11cf6e2fd9f11c2809b3dbf3db935d566ab6b6ee3122e3bfc20ed,5,5,4.316593933105469,0.2535278648138046,4.063066068291664
hindi,0663aeb40f5d5ea46610cac3ca0183f2193b429770c84b516efe7d199b8b110944005539d986613fdc9d6532694f43c3a8e4dfc9de8ae7bfbc8b57b412ef71dd,5,5,0.9911849856376648,-3.415885400772095,4.407070386409759
