language,pair_id,client_id,duration_s,rms,peak,low_energy_frac,mid_energy_frac,high_energy_frac,propensity_hindi,overlap_weight
english,0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,7.56,0.07267078527006897,0.578338623046875,0.8615980517900368,0.11472971434649044,0.022560786896914965,0.05487390867936697,0.05487390867936697
english,1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,4.68,0.07339568532786757,0.506622314453125,0.9176067036728579,0.06834332505535086,0.012981980584631804,0.027783255791226227,0.027783255791226227
english,2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,7.296,0.09134105502886192,0.989990234375,0.8857408716601499,0.10204577223872086,0.01173329367554147,0.014917796905380514,0.014917796905380514
english,3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,6.528,0.08293305756482464,0.95294189453125,0.6254648849480989,0.304919678103588,0.06882426796770502,0.13316864866558198,0.13316864866558198
english,4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,4.716,0.06319547307153349,0.663421630859375,0.8492586757542115,0.1331532054936582,0.016040051845244496,0.008687890033823356,0.008687890033823356
english,5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,2.808,0.1463586499894575,0.989990234375,0.9089058020012685,0.0883781888991975,0.0025504930197374973,0.35452769551656743,0.35452769551656743
english,6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,7.452,0.09419190111114453,0.802642822265625,0.4289347278129405,0.5504892237563873,0.020012611733738948,0.8710352349101944,0.8710352349101944
english,7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,3.984,0.028365210029015018,0.275115966796875,0.7554295309787755,0.15250912297890287,0.0855722221283295,0.01614399809011795,0.01614399809011795
english,8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,4.5,0.04609480559547587,0.354583740234375,0.8309802590357962,0.07866315351923103,0.08787043712840327,0.02488504452912906,0.02488504452912906
english,9,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,2.64,0.024762786667666424,0.18267822265625,0.7237016798469832,0.2290418740315332,0.04029474268358258,0.016233807944369513,0.016233807944369513
english,10,1c5ac4e60d78e04c497fcf0631e17dc41c4194fdaf8646e5e610b31d0236efafa34c7a9f85556dd028caeec1c3af0a452aa7ea8c759c5ab70bab73bfd8372808,6.48,0.036923349232655306,0.368927001953125,0.8643659418794857,0.09973797312662648,0.03206424526859918,0.007703285560147025,0.007703285560147025
english,11,dcde65861c30448743ac761cade398b1d27a13981a2455310b6ed9e2c2cf64150a920420006b6ce402004ab1c0213634e720f23e0d6b5355f2d792fc17afb400,2.976,0.010222506332125311,0.081451416015625,0.45519595756295456,0.40248399341908303,0.12286209465719025,0.18074974865273877,0.18074974865273877
english,12,31b8e2787d4beaffa210309b361d84ba70dcec806fb41fbbe0f081f473289039da13d11eb64125e0746fc72adb2bec40a73e8db55b1692aa7a4e86dd68667a30,5.184,0.03253128287904443,0.28778076171875,0.5139385202433477,0.4237213700874525,0.05805205720535364,0.21025106378799782,0.21025106378799782
english,13,8e91a247ca7696cb0530ac8b83b477578fd91898a3bc219cff8043a98dda87ecd3764290ba9f76672a457242c7c39ed72d8ec123734ea2b3e849c02f0ad5b447,5.868,0.08846039349056925,0.766357421875,0.7072047644778509,0.27952069826057535,0.01256461179648296,0.17799950494346026,0.17799950494346026
english,14,d43f808f4c373507a4ae651689eda02e203066d3b081af35a5940015a6d6c1e7ba2751e8d62abc4b521d54574fe37cfbac6afc72089c0ccafd53c27483275ec7,5.796,0.027929846260076902,0.4228515625,0.5678732710902333,0.393135200859719,0.03353453386683895,0.04047836763432197,0.04047836763432197
english,15,f748c3446cc12be48e26ebea896c3422ed8c447593cb4ebea1b829cb299d1bd5fb6d9d0b08be0d399a19a66dc5241d83603859cc01caa939d3dff5059e02abce,6.816,0.09777475798870543,0.82672119140625,0.48724077373216085,0.47426603663440264,0.03799188554663135,0.8135056305362015,0.8135056305362015
english,16,f948443d2b457137c5ae390f985149e70a16666c61ba3b787a88c204622a5b5b90f30910bcede725f3a1fdf742bec63c99978d15d9eb10930a2641d4aff3bbea,3.144,0.028670538235947757,0.22686767578125,0.7333790518557021,0.20609154541003327,0.05467451993638283,0.01923014585907446,0.01923014585907446
english,17,1fc06ae2858fe60314b607d8728ce36d5dcd8f22f6f13b106b6c4a346da6e0d00fa406883a1bfa9a0973fa46de07b02b471559048f76b07fd708d71dbac8907c,3.528,0.13401180400301488,0.9156494140625,0.8992529849001822,0.09357894071533267,0.006801274457822139,0.2819768426618195,0.2819768426618195
english,18,7835d8b47d67c96f66ab4d9d0e1269cd46ab970e7a5f1adc30ef6e6129b4dc2567289113ed59273ae72a5668b903851356bc4f268043717b3fa1ad433bf651d6,4.824,0.019829312563563777,0.159637451171875,0.7779131146155268,0.1390724984999816,0.07133889335300266,0.013394850982173573,0.013394850982173573
english,19,fb919534447910b303adb39567779ddf6d8fb1404aca83de7c475f8ff4ff463f85677575022253c3a6700769e3d79bf17516b72ec038e5a1b9d5f803dc6e166a,3.264,0.08708529675616103,0.61016845703125,0.9237603191371199,0.040626726700693706,0.03481314543835314,0.0381881337779668,0.0381881337779668
english,20,6325c76fb5e68d55674df688a91178a08ce91db4b3927b94d908b67680d9548f006ce4ca4564203006a4ffb6d5aa44dfa55bc63e6a740432bd060181c6418d42,5.472,0.09803816886876879,0.989990234375,0.5029637641517677,0.2509743567620033,0.24556016933965244,0.8001377075789451,0.8001377075789451
english,21,8796693fb19970eda73c742a411fd9fdea613f4d64d9a3b5e6c756fa7dc6648f34705ff8b294fa3543663ed6b1b6ab6f5cc2e37f278ab0b112aaa9c2de33aa20,5.688,0.0066870458175305,0.033966064453125,0.5068891321562835,0.320246724341533,0.1466971104181256,0.2054777787684414,0.2054777787684414
english,22,389d64208bb16616aeaefd59ad89624adf2f7cb0e68d4d97c380215b52a7eced9d0849bb269542471cf25cbddd543932c79011b751eb6d7380245a6da0eb1eff,6.948,0.05834814856756257,0.879913330078125,0.7779623566493364,0.1886573263045699,0.0318421038501139,0.0052125571939596604,0.0052125571939596604
english,23,7d253c6592f60c2d569618ff419996fc9d6c62add2c6a3c8b9be36bd09e27e775a8bf4dcb99497fa8c81670ae500e79e6056106b5c34b01fd562301f0729f9e9,7.236,0.08954808252166778,0.989990234375,0.7453856481031763,0.1635290265647411,0.09055864434169339,0.08049840650622243,0.08049840650622243
english,24,fd52910d24299328945044ddd49dd2d79ef95c7b0d6e38d06d65a1d9330f64f45a8426cf556ed10a705307dcf622e1fe152ee48d5bd2e38b89b4da815b5c38a6,6.96,0.09027576447481941,0.990020751953125,0.8163190051359175,0.14708674242976075,0.03626330135945483,0.029405704039525346,0.029405704039525346
english,25,11ec372417df77b07bb129cc7572637abe768dd9ba9a6cf66c66b5081a6016aa00fb0a31287220448ed090f18b89fb45ff7e35247c32e492909a9d08f7645c84,3.84,0.016863892618413482,0.088134765625,0.746698769331743,0.1609648113583119,0.07871174784671585,0.018657405112406194,0.018657405112406194
english,26,9c9f9dccc7daa91a521fbafd9034be60b8ff297054102d2fdb87ba9209468736b3d3f387ea0712eaf6081eaaf986b10eedf03639a7dae6f842c4cb214e10fd43,5.736,0.09740882311687898,0.676605224609375,0.7828386725491718,0.09260037039004185,0.12395720553378832,0.444031202696569,0.444031202696569
english,27,0bd650fb7e4a1bce7ccd2c8ff253e80ea7b561b24ebb011fb1988568bec51d6e6c7a453780ea55f75769d664a0910d496135d3d49a4bddf135fce8dfd60bd360,7.584,0.13993861363464905,0.900390625,0.8927614792397325,0.0824345257084485,0.024492280857375412,0.6716091720891303,0.6716091720891303
english,28,028ab76c21b95feb9d1c45d6e15601663af90da27fae2173cc795b0509b393432e7b22dec98cb7986134e44b046930c53a6b0906e44a12694c6874af3c7e16b1,6.696,0.037715988320961215,0.388519287109375,0.7869480426190099,0.12365549043065485,0.08580515489234398,0.02326474873919407,0.02326474873919407
english,29,e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e,7.32,0.12933684366158293,0.826690673828125,0.771660307254919,0.027139894677118914,0.20083978641593117,0.9291331193529547,0.9291331193529547
english,30,22bc86f13b4251a1091cee1fd2599e43dae0537d789e5b88bac1db2f0814ac63bd7bb15e13a24648acf9c29e144fa08d8c2299a88fa980b6db3f7a70d8f48b9d,2.784,0.06870546544086024,0.4622802734375,0.7603566755914338,0.12706406267914785,0.11133817987333354,0.1345679054662219,0.1345679054662219
english,31,666d8a75b930da2206db122b9d213c565802c88080a92d1d4c31581ebc51c3c7e8df6c7e8c448e3ed85b88c2e5aaf23eb3a58c7e14d82dce0f7ae66b0ca65431,3.624,0.136842481042814,0.94927978515625,0.8735049108955876,0.11742047377461241,0.008751878239997648,0.35224301043875506,0.35224301043875506
english,32,1d9ec19ff82f280feed9d2d623162d8046bdf38849230f6c1f680cbd0174c53e9f717e9af8048494e459f2d3ce1d6c341198025323ac71599cc5baadc9ffa141,3.672,0.04778033039115887,0.57232666015625,0.6948023302620097,0.28746017962389014,0.01530923787779088,0.014876085082275706,0.014876085082275706
english,33,c41dd22e62ebbf278d1247d7b4cc49e06bad2e5f7c5e11a2b72580e6575d667e87d89dfffc6dd1194e2ff81c0e2583b09932914c94d3ca2bd829e0099b068f65,3.552,0.11680009504923382,0.87286376953125,0.8975731098716201,0.09918951488171997,0.002798273002214922,0.10185452034799301,0.10185452034799301
english,34,52f93568a9302b1e6662a670c7a026f5fc184586d28f22f58ac8e3ab936f376cc20ac820a21c0937c55f19a2396e2ffce8e21e3633be5474cf9a03ef35b4680e,7.416,0.012934608717615073,0.08026123046875,0.5987338084349468,0.2539483467212727,0.13031461802465394,0.1536691218111107,0.1536691218111107
english,35,1ac9ecaf9310d5281d115f37692ebe23e9ee83e7655ae658c93195e49bbcc6b8ce5bd83130010252ae312400a654675cc3e5f52434e7b0302ae52ef36b5d161c,3.24,0.06483792962294835,0.795166015625,0.9218377904476962,0.06670633207493218,0.010162770372285461,0.0014951938182431023,0.0014951938182431023
english,36,0e5b9e39547ba372e339b7eeeb3fb20cad1a055f0695b137a44397eabb020001afc030a9fe1febf7cbfbc92998165e00e0cae4c115b7c9ace09f13911270b582,6.66,0.08452579847532032,0.866302490234375,0.8477181714712864,0.08960057159632555,0.06189288087098536,0.03149990453861287,0.03149990453861287
