pair_id,analysis_cluster,path,label,duration_s,bonafide_logit,spoof_logit,weight,language
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,english_griffinlim_eval_final/real_english/english_real_0000.wav,1,7.56,1.4143136739730835,-2.4177768230438232,0.05487390867936697,english
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0000.wav,0,7.56,-5.925039768218994,6.795634269714356,0.05487390867936697,english
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,english_griffinlim_eval_final/real_english/english_real_0001.wav,1,4.68,4.568498611450195,-5.697585105895996,0.027783255791226227,english
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0001.wav,0,4.68,-6.025521755218506,7.018877506256104,0.027783255791226227,english
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,english_griffinlim_eval_final/real_english/english_real_0002.wav,1,7.296,-1.665388822555542,2.287134885787964,0.014917796905380514,english
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0002.wav,0,7.296,-6.019196510314941,6.8902130126953125,0.014917796905380514,english
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,english_griffinlim_eval_final/real_english/english_real_0003.wav,1,6.528,3.498154163360596,-4.421197414398193,0.13316864866558198,english
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0003.wav,0,6.528,-1.9261897802352903,2.5937652587890625,0.13316864866558198,english
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,english_griffinlim_eval_final/real_english/english_real_0004.wav,1,4.716,2.2440454959869385,-3.134213447570801,0.008687890033823356,english
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0004.wav,0,4.716,-6.032742500305176,6.920646190643311,0.008687890033823356,english
