pair_id,analysis_cluster,path,label,duration_s,bonafide_logit,spoof_logit,weight,language,difficulty,client_id,overlap_weight,low_energy_frac,mid_energy_frac,high_energy_frac,rms,peak,duration_s_cov,analysis_cluster_cov,low_frac,mid_frac,high_frac,gini,entropy,topk_1pct,topk_5pct,topk_10pct
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0000.wav,0,7.56,-5.925039768218994,6.795634269714356,0.0548739086793669,english,-5.420059084892273,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,0.0548739086793669,0.8615980517900368,0.1147297143464904,0.0225607868969149,0.0726707852700689,0.578338623046875,7.56,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,,,,,,,,
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0001.wav,0,4.68,-6.025521755218506,7.018877506256104,0.0277832557912262,english,-5.520541071891785,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,0.0277832557912262,0.917606703672858,0.0683433250553508,0.0129819805846318,0.0733956853278675,0.506622314453125,4.68,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,,,,,,,,
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0002.wav,0,7.296,-6.019196510314941,6.8902130126953125,0.0149177969053805,english,-5.51421582698822,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,0.0149177969053805,0.8857408716601499,0.1020457722387208,0.0117332936755414,0.0913410550288619,0.989990234375,7.296,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,,,,,,,,
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0003.wav,0,6.528,-1.9261897802352903,2.5937652587890625,0.1331686486655819,english,-1.4212090969085691,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,0.1331686486655819,0.6254648849480989,0.304919678103588,0.068824267967705,0.0829330575648246,0.95294189453125,6.528,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,,,,,,,,
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0004.wav,0,4.716,-6.032742500305176,6.920646190643311,0.0086878900338233,english,-5.527761816978455,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,0.0086878900338233,0.8492586757542115,0.1331532054936582,0.0160400518452444,0.0631954730715334,0.663421630859375,4.716,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,,,,,,,,
5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0005.wav,0,2.808,-5.652700424194336,6.444450378417969,0.3545276955165674,english,-5.147719740867615,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,0.3545276955165674,0.9089058020012684,0.0883781888991975,0.0025504930197374,0.1463586499894575,0.989990234375,2.808,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,,,,,,,,
6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0006.wav,0,7.452,-6.014808654785156,6.967901706695557,0.8710352349101944,english,-5.509827971458435,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,0.8710352349101944,0.4289347278129405,0.5504892237563873,0.0200126117337389,0.0941919011111445,0.802642822265625,7.452,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,,,,,,,,
7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0007.wav,0,3.984,-0.6692512035369873,1.184876561164856,0.0161439980901179,english,-0.1642705202102661,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,0.0161439980901179,0.7554295309787755,0.1525091229789028,0.0855722221283295,0.028365210029015,0.275115966796875,3.984,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,,,,,,,,
8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0008.wav,0,4.5,-5.901646614074707,6.801974296569824,0.024885044529129,english,-5.396665930747986,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,0.024885044529129,0.8309802590357962,0.078663153519231,0.0878704371284032,0.0460948055954758,0.354583740234375,4.5,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,,,,,,,,
9,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0009.wav,0,2.64,-5.488898277282715,6.264532089233398,0.0162338079443695,english,-4.983917593955994,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,0.0162338079443695,0.7237016798469832,0.2290418740315332,0.0402947426835825,0.0247627866676664,0.18267822265625,2.64,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,,,,,,,,
