pair_id,analysis_cluster,path,label,duration_s,bonafide_logit,spoof_logit,inferred_normalization,peak_limited,weight,language,difficulty,client_id,overlap_weight,low_energy_frac,mid_energy_frac,high_energy_frac,rms,peak,duration_s_cov,analysis_cluster_cov,low_frac,mid_frac,high_frac,gini,entropy,topk_1pct,topk_5pct,topk_10pct
0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0000.wav,0,4.5,-2.8053395748138428,3.725528478622437,rms_matched,False,0.0293967239649715,hindi,-3.2547266483306885,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,0.0293967239649715,0.37319031942745,0.3334266177556667,0.2893916992143228,0.0562648389632628,0.296069860458374,4.5,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,,,,,,,,
1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0001.wav,0,4.464,-4.780567646026611,5.579265117645264,rms_matched,False,0.7730719266445575,hindi,-5.229954719543457,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,0.7730719266445575,0.8331096739709701,0.0806112670396356,0.086195727919222,0.120299908080431,0.990020751953125,4.464,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,,,,,,,,
2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0002.wav,0,6.624,-0.4745744466781616,0.9831240773200988,rms_matched,False,0.089426038552739,hindi,-0.9239615201950073,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,0.089426038552739,0.535423894993024,0.2396277574368052,0.2220354060111583,0.0849893671129851,0.6232538223266602,6.624,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,,,,,,,,
3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0003.wav,0,3.204,5.680367946624756,-7.373922348022461,rms_matched,False,0.0312505635719886,hindi,5.23098087310791,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,0.0312505635719886,0.2688306927559997,0.3887083853678891,0.3377954023213401,0.0363299584875295,0.2020924091339111,3.204,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,,,,,,,,
4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0004.wav,0,4.392,-4.323846817016602,5.246596813201904,rms_matched,False,0.0414732838798506,hindi,-4.773233890533447,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,0.0414732838798506,0.4650892116161041,0.3532072213375878,0.1798723134204699,0.1120207108547966,0.861562967300415,4.392,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,,,,,,,,
5,f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0005.wav,0,4.704,4.332098960876465,-5.660590171813965,rms_matched,False,0.6431849636250409,hindi,3.882711887359619,f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb,0.6431849636250409,0.7915768472680763,0.0422591854670182,0.1660542229922223,0.1156077624060912,0.981292724609375,4.704,f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb,,,,,,,,
6,c8eabd52eef7e16e14998264ec78831ec7b891135ad93c446e459d4643b02c721b412f4fc828522a478fdbd2d5f4ca9838991a89368c78cb7f0617b3837a00ca,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0006.wav,0,3.78,-0.7153568267822266,1.088850021362305,rms_matched,False,0.0308466069799671,hindi,-1.1647439002990723,c8eabd52eef7e16e14998264ec78831ec7b891135ad93c446e459d4643b02c721b412f4fc828522a478fdbd2d5f4ca9838991a89368c78cb7f0617b3837a00ca,0.0308466069799671,0.3587181299975317,0.3496946934217959,0.2878197182304605,0.0570722276319422,0.3126177191734314,3.78,c8eabd52eef7e16e14998264ec78831ec7b891135ad93c446e459d4643b02c721b412f4fc828522a478fdbd2d5f4ca9838991a89368c78cb7f0617b3837a00ca,,,,,,,,
7,64fcf403ddfb930184eae9b9ad9fbb9a712ebab06fdb5e7dbe7621dcd2cd5101f593c37e8e254ff38294b6dcc8bec4808c197c2d7599c0c4126045b1ac9b51d0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0007.wav,0,3.144,5.371298789978027,-6.766499042510986,rms_matched,False,0.0352660085948577,hindi,4.921911716461182,64fcf403ddfb930184eae9b9ad9fbb9a712ebab06fdb5e7dbe7621dcd2cd5101f593c37e8e254ff38294b6dcc8bec4808c197c2d7599c0c4126045b1ac9b51d0,0.0352660085948577,0.3951584652806724,0.3114120768216156,0.2897047351155978,0.0595430889062071,0.2920807003974914,3.144,64fcf403ddfb930184eae9b9ad9fbb9a712ebab06fdb5e7dbe7621dcd2cd5101f593c37e8e254ff38294b6dcc8bec4808c197c2d7599c0c4126045b1ac9b51d0,,,,,,,,
8,f552d4cedc22293c27ab4a86fc3985ecf1bd8fe9e6664f6a835675acf4173fa94bfa392ddccd06a177ae2bf6e412212f42973dec10c26a7cfa02c48ddd7c7978,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0008.wav,0,4.176,-0.6441074013710022,1.1341817378997805,rms_matched,False,0.2361152144897889,hindi,-1.093494474887848,f552d4cedc22293c27ab4a86fc3985ecf1bd8fe9e6664f6a835675acf4173fa94bfa392ddccd06a177ae2bf6e412212f42973dec10c26a7cfa02c48ddd7c7978,0.2361152144897889,0.5958962367244377,0.2328025727520933,0.1692274530777369,0.1076110046932937,0.8856586217880249,4.176,f552d4cedc22293c27ab4a86fc3985ecf1bd8fe9e6664f6a835675acf4173fa94bfa392ddccd06a177ae2bf6e412212f42973dec10c26a7cfa02c48ddd7c7978,,,,,,,,
9,4fcdd17805b736cac2dc920985d2187185e759b54d9cfe7d2654dd8f4aff10e630e579edcb5cb4d04f215bebe6d096d9e932203345ad7272e889beca6a5c20e7,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0009.wav,0,4.716,-2.5510454177856445,3.319931983947754,rms_matched,False,0.0867592622623418,hindi,-3.0004324913024902,4fcdd17805b736cac2dc920985d2187185e759b54d9cfe7d2654dd8f4aff10e630e579edcb5cb4d04f215bebe6d096d9e932203345ad7272e889beca6a5c20e7,0.0867592622623418,0.3640824577192678,0.4058784554934432,0.2269260729525394,0.0689057533201589,0.6078752279281616,4.716,4fcdd17805b736cac2dc920985d2187185e759b54d9cfe7d2654dd8f4aff10e630e579edcb5cb4d04f215bebe6d096d9e932203345ad7272e889beca6a5c20e7,,,,,,,,
