language,pair_id,analysis_cluster,label,bonafide_logit
english,0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,1,1.4200862646102905
english,0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,0,-5.911060333251953
english,2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,1,-1.664671540260315
english,2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,0,-6.020063400268555
english,3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,1,3.4983761310577393
english,3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,0,-1.9235886335372925
english,4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,1,2.237562656402588
english,4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,0,-6.029760360717773
english,5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,1,-4.852222442626953
english,5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,0,-5.639717102050781
english,6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,1,-4.447665214538574
english,6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,0,-6.015244483947754
english,11,dcde65861c30448743ac761cade398b1d27a13981a2455310b6ed9e2c2cf64150a920420006b6ce402004ab1c0213634e720f23e0d6b5355f2d792fc17afb400,1,1.8187819719314575
english,11,dcde65861c30448743ac761cade398b1d27a13981a2455310b6ed9e2c2cf64150a920420006b6ce402004ab1c0213634e720f23e0d6b5355f2d792fc17afb400,0,-0.7526731491088867
english,12,31b8e2787d4beaffa210309b361d84ba70dcec806fb41fbbe0f081f473289039da13d11eb64125e0746fc72adb2bec40a73e8db55b1692aa7a4e86dd68667a30,1,5.264702796936035
english,12,31b8e2787d4beaffa210309b361d84ba70dcec806fb41fbbe0f081f473289039da13d11eb64125e0746fc72adb2bec40a73e8db55b1692aa7a4e86dd68667a30,0,-1.936716079711914
english,13,8e91a247ca7696cb0530ac8b83b477578fd91898a3bc219cff8043a98dda87ecd3764290ba9f76672a457242c7c39ed72d8ec123734ea2b3e849c02f0ad5b447,1,0.4213328957557678
english,13,8e91a247ca7696cb0530ac8b83b477578fd91898a3bc219cff8043a98dda87ecd3764290ba9f76672a457242c7c39ed72d8ec123734ea2b3e849c02f0ad5b447,0,-6.107425689697266
english,14,d43f808f4c373507a4ae651689eda02e203066d3b081af35a5940015a6d6c1e7ba2751e8d62abc4b521d54574fe37cfbac6afc72089c0ccafd53c27483275ec7,1,5.569803714752197
english,14,d43f808f4c373507a4ae651689eda02e203066d3b081af35a5940015a6d6c1e7ba2751e8d62abc4b521d54574fe37cfbac6afc72089c0ccafd53c27483275ec7,0,-1.0707958936691284
english,15,f748c3446cc12be48e26ebea896c3422ed8c447593cb4ebea1b829cb299d1bd5fb6d9d0b08be0d399a19a66dc5241d83603859cc01caa939d3dff5059e02abce,1,1.910632848739624
english,15,f748c3446cc12be48e26ebea896c3422ed8c447593cb4ebea1b829cb299d1bd5fb6d9d0b08be0d399a19a66dc5241d83603859cc01caa939d3dff5059e02abce,0,-3.549075126647949
english,17,1fc06ae2858fe60314b607d8728ce36d5dcd8f22f6f13b106b6c4a346da6e0d00fa406883a1bfa9a0973fa46de07b02b471559048f76b07fd708d71dbac8907c,1,-5.940998554229736
english,17,1fc06ae2858fe60314b607d8728ce36d5dcd8f22f6f13b106b6c4a346da6e0d00fa406883a1bfa9a0973fa46de07b02b471559048f76b07fd708d71dbac8907c,0,-6.0526442527771
english,20,6325c76fb5e68d55674df688a91178a08ce91db4b3927b94d908b67680d9548f006ce4ca4564203006a4ffb6d5aa44dfa55bc63e6a740432bd060181c6418d42,1,5.689349174499512
english,20,6325c76fb5e68d55674df688a91178a08ce91db4b3927b94d908b67680d9548f006ce4ca4564203006a4ffb6d5aa44dfa55bc63e6a740432bd060181c6418d42,0,-4.897642135620117
english,21,8796693fb19970eda73c742a411fd9fdea613f4d64d9a3b5e6c756fa7dc6648f34705ff8b294fa3543663ed6b1b6ab6f5cc2e37f278ab0b112aaa9c2de33aa20,1,1.0917962789535522
