language,pair_id,client_id,duration_s,rms,peak,low_energy_frac,mid_energy_frac,high_energy_frac
english,0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,7.56,0.07267078527006897,0.578338623046875,0.8615980517900368,0.11472971434649044,0.022560786896914965
english,1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,4.68,0.07339568532786757,0.506622314453125,0.9176067036728579,0.06834332505535086,0.012981980584631804
english,2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,7.296,0.09134105502886192,0.989990234375,0.8857408716601499,0.10204577223872086,0.01173329367554147
english,3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,6.528,0.08293305756482464,0.95294189453125,0.6254648849480989,0.304919678103588,0.06882426796770502
english,4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,4.716,0.06319547307153349,0.663421630859375,0.8492586757542115,0.1331532054936582,0.016040051845244496
english,5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,2.808,0.1463586499894575,0.989990234375,0.9089058020012685,0.0883781888991975,0.0025504930197374973
english,6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,7.452,0.09419190111114453,0.802642822265625,0.4289347278129405,0.5504892237563873,0.020012611733738948
english,7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,3.984,0.028365210029015018,0.275115966796875,0.7554295309787755,0.15250912297890287,0.0855722221283295
english,8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,4.5,0.04609480559547587,0.354583740234375,0.8309802590357962,0.07866315351923103,0.08787043712840327
english,9,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,2.64,0.024762786667666424,0.18267822265625,0.7237016798469832,0.2290418740315332,0.04029474268358258
