sample_key,pair_id,analysis_cluster,label,path,duration_s,content_fraction,ig_delta,low_frac,mid_frac,high_frac,speech_frac,silence_frac,silence_duration_frac,gini,entropy,topk_1pct,topk_5pct,topk_10pct
a11_000_LA_E_1529183,a11_000,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1529183.flac,4.6304375,1.0,4.043427230397889,0.7792834342816318,0.16984581624242523,0.05087074947594287,1.0,0.0,0.0,0.6888915178623698,14.661474230739087,0.12703106934138714,0.3510592189383782,0.5147833977118403
a11_001_LA_E_7935311,a11_001,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_7935311.flac,1.218375,0.301764705882353,7.066664933835714,0.7738699616790208,0.2213650122002094,0.004765026120769802,0.9888538718223572,0.011146233417093754,0.025541795665634675,0.6835799189829108,14.669938820956464,0.13195790244871078,0.3553584218054361,0.5127491339746731
a11_002_LA_E_5344211,a11_002,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_5344211.flac,3.183,0.7883591331269351,14.092561304215412,0.8605187747112706,0.10758007702005401,0.03190114826867551,0.9468948245048523,0.05310508981347084,0.01956656346749226,0.7165539337977485,14.44622290321134,0.1727702914233187,0.4163395624567441,0.5708984001578952
a11_003_LA_E_2113190,a11_003,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_2113190.flac,1.8318125,0.4536996904024768,6.075240621155533,0.9174508011514452,0.05395605008828884,0.02859314876026603,0.9874496459960938,0.012550237588584423,0.027647058823529413,0.6919195574782961,14.639084884105891,0.13206810916739792,0.361323990507986,0.523293607711658
a11_004_LA_E_8758886,a11_004,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_8758886.flac,3.8950625,0.9647213622291022,2.7913147690198024,0.9215926051881538,0.046498098135597764,0.03190929667624851,0.9385244846343994,0.06147562712430954,0.045340557275541794,0.6892453327451229,14.622133823773993,0.14347126787798165,0.3737864768608583,0.5297839374858984
a11_005_LA_E_8081889,a11_005,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_8081889.flac,3.5813125,0.8870123839009288,-9.231724931153371,0.8814893014012856,0.08288089506864042,0.035629803530074035,0.9906281232833862,0.009371764957904816,0.015185758513931889,0.7040866740626546,14.587347678663928,0.13117416287240594,0.36355186275298046,0.5320845197097673
a11_006_LA_E_1949642,a11_006,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1949642.flac,2.0554375,0.5090866873065016,3.2029355761607974,0.9124139966320844,0.07909752640290718,0.008488476965008356,0.9999277591705322,7.223335705930367e-05,0.0018421052631578947,0.6800409450652938,14.706696807919553,0.12076433831186668,0.34285591696679024,0.5062856013751165
a11_007_LA_E_3774196,a11_007,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_3774196.flac,4.3045,1.0,-2.709278861443007,0.8560486450842341,0.07198477372531675,0.07196658119044913,1.0,0.0,0.0,0.6860861811339032,14.639333026984598,0.14352442748642757,0.3648099791806979,0.5218812485310471
a11_008_LA_E_5491233,a11_008,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_5491233.flac,1.96825,0.48749226006191954,5.01341946925691,0.9167347580763872,0.062494712316833186,0.02077052960677958,0.9972174167633057,0.002782608149573207,0.00804953560371517,0.6968100994099038,14.596876304960055,0.14442275998999557,0.37164841308692625,0.5314387642226767
a11_009_LA_E_6808678,a11_009,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_6808678.flac,1.745125,0.4322291021671827,5.168467459384923,0.8156999902020583,0.1715664204651193,0.012733589332822592,0.9993626475334167,0.0006373029318638146,0.00848297213622291,0.6948607347696361,14.594408892748486,0.14745309316384062,0.3741040192553475,0.5322308372595115
