pair_id,analysis_cluster,path,label,duration_s,bonafide_logit,spoof_logit,inferred_normalization,peak_limited
1002,7b90778674a3659c892533d96bb0aa534879da17cd2f9cb1ae73fc3cc114dda10eba8bb6cfeddbafde910b396a60b95e64b4134430071bf2dd23b8d6a9c32785,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1002.wav,0,7.38,6.134123802185059,-7.99560546875,rms_matched,False
1002,7b90778674a3659c892533d96bb0aa534879da17cd2f9cb1ae73fc3cc114dda10eba8bb6cfeddbafde910b396a60b95e64b4134430071bf2dd23b8d6a9c32785,hindi_griffinlim_eval_final/real_hindi/hindi_real_1002.wav,1,7.38,3.973792552947998,-5.081984519958496,rms_matched,False
1032,cea40007071ea914e41633e74d05142fd1f5f8f49c154534816017cf89ce625657c804fe479fe87c08854ecd847697d6ca0fb6bcf424006c307f65430c34785e,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1032.wav,0,5.076,-2.7488865852355957,3.6818132400512695,rms_matched,False
1032,cea40007071ea914e41633e74d05142fd1f5f8f49c154534816017cf89ce625657c804fe479fe87c08854ecd847697d6ca0fb6bcf424006c307f65430c34785e,hindi_griffinlim_eval_final/real_hindi/hindi_real_1032.wav,1,5.076,3.373007297515869,-4.336113929748535,rms_matched,False
1036,b726b76c3576ad4edb7eeec20cfca6ae5b5ce074dd7e042da97ec800dc152b6fc7d0c462260dde20cea9d99782632cdd7a47c83c615cfcc3324c9b890fc12ee9,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1036.wav,0,7.848,-5.379336357116699,6.129319190979004,rms_matched,False
1036,b726b76c3576ad4edb7eeec20cfca6ae5b5ce074dd7e042da97ec800dc152b6fc7d0c462260dde20cea9d99782632cdd7a47c83c615cfcc3324c9b890fc12ee9,hindi_griffinlim_eval_final/real_hindi/hindi_real_1036.wav,1,7.848,5.253767967224121,-6.679317474365234,rms_matched,False
1044,60b2daa4cda30b5320834f3c2d21ea1841b52ccd7bf7ed4689f3ff27ca59c3323707c95e9a17bea4082356c576bbc3f17a00106134240f3632529b329fc1e62a,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1044.wav,0,6.156,-5.654191017150879,6.4370341300964355,rms_matched,False
1044,60b2daa4cda30b5320834f3c2d21ea1841b52ccd7bf7ed4689f3ff27ca59c3323707c95e9a17bea4082356c576bbc3f17a00106134240f3632529b329fc1e62a,hindi_griffinlim_eval_final/real_hindi/hindi_real_1044.wav,1,6.156,3.776228427886963,-4.797182083129883,rms_matched,False
1048,a4a1040c8228b7c4f4f6d82e4db994894b669b51b15980a75e3c7f8f91169c13973557c4f950a4eef6447617ff114233bc495632040f6b24694c4127cc9a86b9,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1048.wav,0,7.92,0.5516966581344604,-0.7267785668373108,rms_matched,False
1048,a4a1040c8228b7c4f4f6d82e4db994894b669b51b15980a75e3c7f8f91169c13973557c4f950a4eef6447617ff114233bc495632040f6b24694c4127cc9a86b9,hindi_griffinlim_eval_final/real_hindi/hindi_real_1048.wav,1,7.92,5.0102458000183105,-6.41964054107666,rms_matched,False
