pair_id,analysis_cluster,path,label,duration_s,bonafide_logit,spoof_logit
1002,72fa4494c0ae90905d3e7b046cced92d9dfd9a1dfe7bd6b417b25b624c3ede012ea9f4347190f7df632505485b9b85aee0eab6012f82eedcede303e47450e7d7,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1002.wav,0,2.136,-0.2254149168729782,0.5401180386543274
1002,72fa4494c0ae90905d3e7b046cced92d9dfd9a1dfe7bd6b417b25b624c3ede012ea9f4347190f7df632505485b9b85aee0eab6012f82eedcede303e47450e7d7,english_griffinlim_eval_final/real_english/english_real_1002.wav,1,2.136,4.494197368621826,-5.603890419006348
1032,a67ea11203bf123fcd175858ced893c999654827e1be9016973959723c52339bcc804a4b6c052cf0dd3c0b189fdb22207e8a0bae5e2f02245083c80d76d730a3,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1032.wav,0,5.688,0.4844375550746918,-1.1759968996047974
1032,a67ea11203bf123fcd175858ced893c999654827e1be9016973959723c52339bcc804a4b6c052cf0dd3c0b189fdb22207e8a0bae5e2f02245083c80d76d730a3,english_griffinlim_eval_final/real_english/english_real_1032.wav,1,5.688,5.303993225097656,-6.702846527099609
1036,d1813b3a39bbd5d6f35e04e8e2151930a40e56cefcc57eb71351d6cde06a360b99e6c7791989ff337b308103b8dd7f2f705c01f88506ec4146042276b5a122ce,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1036.wav,0,6.6,0.22743989527225494,-0.2623944878578186
1036,d1813b3a39bbd5d6f35e04e8e2151930a40e56cefcc57eb71351d6cde06a360b99e6c7791989ff337b308103b8dd7f2f705c01f88506ec4146042276b5a122ce,english_griffinlim_eval_final/real_english/english_real_1036.wav,1,6.6,-2.2686285972595215,2.8984756469726562
1044,2613068726292355af6306df9b9448429d185bd61430a67718d1da33e22d3b695383a562c5a385f7df0cfd18b3cda8fa718e306ac9879707519a3ccaddb00154,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1044.wav,0,5.424,-6.045958995819092,6.91807746887207
1044,2613068726292355af6306df9b9448429d185bd61430a67718d1da33e22d3b695383a562c5a385f7df0cfd18b3cda8fa718e306ac9879707519a3ccaddb00154,english_griffinlim_eval_final/real_english/english_real_1044.wav,1,5.424,-2.9755635261535645,3.6805591583251953
1048,47eab07d923d67d86227a7cef43ba747a0bb73c42ddf79a028f02e524bcb7ec8958a0f8f0c9365130c8ace2dfb83390d035ce5950b19f38463079bf11f5509eb,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_1048.wav,0,3.0,4.983749866485596,-6.340526103973389
1048,47eab07d923d67d86227a7cef43ba747a0bb73c42ddf79a028f02e524bcb7ec8958a0f8f0c9365130c8ace2dfb83390d035ce5950b19f38463079bf11f5509eb,english_griffinlim_eval_final/real_english/english_real_1048.wav,1,3.0,6.0529961585998535,-7.904481410980225
