pair_id,analysis_cluster,path,label,duration_s,bonafide_logit,spoof_logit
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,english_griffinlim_eval_final/real_english/english_real_0000.wav,1,7.56,1.4143136739730835,-2.4177768230438232
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0000.wav,0,7.56,-5.925039768218994,6.7956342697143555
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,english_griffinlim_eval_final/real_english/english_real_0001.wav,1,4.68,4.568498611450195,-5.697585105895996
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0001.wav,0,4.68,-6.025521755218506,7.0188775062561035
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,english_griffinlim_eval_final/real_english/english_real_0002.wav,1,7.296,-1.665388822555542,2.287134885787964
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0002.wav,0,7.296,-6.019196510314941,6.8902130126953125
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,english_griffinlim_eval_final/real_english/english_real_0003.wav,1,6.528,3.4981541633605957,-4.421197414398193
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0003.wav,0,6.528,-1.9261897802352905,2.5937652587890625
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,english_griffinlim_eval_final/real_english/english_real_0004.wav,1,4.716,2.2440454959869385,-3.134213447570801
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0004.wav,0,4.716,-6.032742500305176,6.9206461906433105
5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,english_griffinlim_eval_final/real_english/english_real_0005.wav,1,2.808,-4.831833362579346,5.6816606521606445
5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0005.wav,0,2.808,-5.652700424194336,6.444450378417969
6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,english_griffinlim_eval_final/real_english/english_real_0006.wav,1,7.452,-4.444533824920654,5.241582870483398
6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0006.wav,0,7.452,-6.014808654785156,6.967901706695557
7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,english_griffinlim_eval_final/real_english/english_real_0007.wav,1,3.984,5.065242290496826,-6.265892028808594
7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0007.wav,0,3.984,-0.6692512035369873,1.184876561164856
8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,english_griffinlim_eval_final/real_english/english_real_0008.wav,1,4.5,-3.1048598289489746,3.915104389190674
8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0008.wav,0,4.5,-5.901646614074707,6.801974296569824
9,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,english_griffinlim_eval_final/real_english/english_real_0009.wav,1,2.64,-2.4944634437561035,3.3551506996154785
9,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0009.wav,0,2.64,-5.488898277282715,6.264532089233398
10,1c5ac4e60d78e04c497fcf0631e17dc41c4194fdaf8646e5e610b31d0236efafa34c7a9f85556dd028caeec1c3af0a452aa7ea8c759c5ab70bab73bfd8372808,english_griffinlim_eval_final/real_english/english_real_0010.wav,1,6.48,1.961461067199707,-2.692368984222412
10,1c5ac4e60d78e04c497fcf0631e17dc41c4194fdaf8646e5e610b31d0236efafa34c7a9f85556dd028caeec1c3af0a452aa7ea8c759c5ab70bab73bfd8372808,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0010.wav,0,6.48,-3.100456476211548,4.025141716003418
11,dcde65861c30448743ac761cade398b1d27a13981a2455310b6ed9e2c2cf64150a920420006b6ce402004ab1c0213634e720f23e0d6b5355f2d792fc17afb400,english_griffinlim_eval_final/real_english/english_real_0011.wav,1,2.976,1.825398564338684,-2.6913952827453613
11,dcde65861c30448743ac761cade398b1d27a13981a2455310b6ed9e2c2cf64150a920420006b6ce402004ab1c0213634e720f23e0d6b5355f2d792fc17afb400,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0011.wav,0,2.976,-0.7500510215759277,1.3239593505859375
12,31b8e2787d4beaffa210309b361d84ba70dcec806fb41fbbe0f081f473289039da13d11eb64125e0746fc72adb2bec40a73e8db55b1692aa7a4e86dd68667a30,english_griffinlim_eval_final/real_english/english_real_0012.wav,1,5.184,5.264856338500977,-6.511089324951172
12,31b8e2787d4beaffa210309b361d84ba70dcec806fb41fbbe0f081f473289039da13d11eb64125e0746fc72adb2bec40a73e8db55b1692aa7a4e86dd68667a30,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0012.wav,0,5.184,-1.9440256357192993,2.695591449737549
13,8e91a247ca7696cb0530ac8b83b477578fd91898a3bc219cff8043a98dda87ecd3764290ba9f76672a457242c7c39ed72d8ec123734ea2b3e849c02f0ad5b447,english_griffinlim_eval_final/real_english/english_real_0013.wav,1,5.868,0.4151778221130371,-0.3863552510738373
13,8e91a247ca7696cb0530ac8b83b477578fd91898a3bc219cff8043a98dda87ecd3764290ba9f76672a457242c7c39ed72d8ec123734ea2b3e849c02f0ad5b447,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0013.wav,0,5.868,-6.1086506843566895,7.013011455535889
14,d43f808f4c373507a4ae651689eda02e203066d3b081af35a5940015a6d6c1e7ba2751e8d62abc4b521d54574fe37cfbac6afc72089c0ccafd53c27483275ec7,english_griffinlim_eval_final/real_english/english_real_0014.wav,1,5.796,5.570525169372559,-7.0167388916015625
14,d43f808f4c373507a4ae651689eda02e203066d3b081af35a5940015a6d6c1e7ba2751e8d62abc4b521d54574fe37cfbac6afc72089c0ccafd53c27483275ec7,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0014.wav,0,5.796,-1.0723110437393188,1.5723271369934082
