pair_id,analysis_cluster,label,path,duration_s,leading_silence_ms,trailing_silence_ms,score_original,score_trimmed,delta_score
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,1,english_griffinlim_eval_final/real_english/english_real_0000.wav,7.56,32.0,552.0,1.4200862646102905,1.2254170179367065,-0.19466924667358398
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0000.wav,7.56,0.0,0.0,-5.911060333251953,-5.911060333251953,0.0
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,1,english_griffinlim_eval_final/real_english/english_real_0001.wav,4.68,512.0,296.0,4.56904411315918,-0.6164853572845459,-5.185529470443726
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0001.wav,4.68,0.0,0.0,-6.026714324951172,-6.026714324951172,0.0
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,1,english_griffinlim_eval_final/real_english/english_real_0002.wav,7.296,32.0,0.0,-1.664671540260315,-2.395015239715576,-0.7303436994552612
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0002.wav,7.296,0.0,0.0,-6.020063400268555,-6.020063400268555,0.0
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,1,english_griffinlim_eval_final/real_english/english_real_0003.wav,6.528,0.0,352.0,3.4983761310577393,3.4983761310577393,0.0
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0003.wav,6.528,0.0,0.0,-1.9235886335372925,-1.9235886335372925,0.0
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,1,english_griffinlim_eval_final/real_english/english_real_0004.wav,4.716,32.0,172.0,2.237562656402588,0.5025113224983215,-1.7350513339042664
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0004.wav,4.716,0.0,0.0,-6.029760360717773,-6.029760360717773,0.0
5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,1,english_griffinlim_eval_final/real_english/english_real_0005.wav,2.808,0.0,0.0,-4.852222442626953,-4.852222442626953,0.0
5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0005.wav,2.808,0.0,0.0,-5.639717102050781,-5.639717102050781,0.0
6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,1,english_griffinlim_eval_final/real_english/english_real_0006.wav,7.452,96.0,444.0,-4.447665214538574,-4.7170586585998535,-0.2693934440612793
6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0006.wav,7.452,0.0,0.0,-6.015244483947754,-6.015244483947754,0.0
7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,1,english_griffinlim_eval_final/real_english/english_real_0007.wav,3.984,288.0,592.0,5.062489986419678,-2.5751519203186035,-7.637641906738281
7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0007.wav,3.984,0.0,0.0,-0.6691813468933105,-0.6691813468933105,0.0
8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,1,english_griffinlim_eval_final/real_english/english_real_0008.wav,4.5,32.0,20.0,-3.118562698364258,-2.658237934112549,0.460324764251709
8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0008.wav,4.5,0.0,0.0,-5.904069900512695,-5.904069900512695,0.0
9,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,1,english_griffinlim_eval_final/real_english/english_real_0009.wav,2.64,0.0,0.0,-2.4941813945770264,-2.4941813945770264,0.0
9,bfa46e4905ae85ce085800b03f8bc77ff9b8eb2ef591b35335ff6baf2bd034e2ddcdf24d02e9c82f99ca770b584e45732bc15cf409aa12485ad9e5c1e06c368b,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0009.wav,2.64,0.0,0.0,-5.491120338439941,-5.491120338439941,0.0
10,1c5ac4e60d78e04c497fcf0631e17dc41c4194fdaf8646e5e610b31d0236efafa34c7a9f85556dd028caeec1c3af0a452aa7ea8c759c5ab70bab73bfd8372808,1,english_griffinlim_eval_final/real_english/english_real_0010.wav,6.48,128.0,16.0,1.9630430936813354,3.747486114501953,1.7844430208206177
10,1c5ac4e60d78e04c497fcf0631e17dc41c4194fdaf8646e5e610b31d0236efafa34c7a9f85556dd028caeec1c3af0a452aa7ea8c759c5ab70bab73bfd8372808,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0010.wav,6.48,0.0,0.0,-3.1022350788116455,-3.1022350788116455,0.0
11,dcde65861c30448743ac761cade398b1d27a13981a2455310b6ed9e2c2cf64150a920420006b6ce402004ab1c0213634e720f23e0d6b5355f2d792fc17afb400,1,english_griffinlim_eval_final/real_english/english_real_0011.wav,2.976,64.0,0.0,1.8187819719314575,0.9326817989349365,-0.886100172996521
11,dcde65861c30448743ac761cade398b1d27a13981a2455310b6ed9e2c2cf64150a920420006b6ce402004ab1c0213634e720f23e0d6b5355f2d792fc17afb400,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0011.wav,2.976,0.0,0.0,-0.7526731491088867,-0.7526731491088867,0.0
12,31b8e2787d4beaffa210309b361d84ba70dcec806fb41fbbe0f081f473289039da13d11eb64125e0746fc72adb2bec40a73e8db55b1692aa7a4e86dd68667a30,1,english_griffinlim_eval_final/real_english/english_real_0012.wav,5.184,800.0,352.0,5.264702796936035,-2.8913493156433105,-8.156052112579346
12,31b8e2787d4beaffa210309b361d84ba70dcec806fb41fbbe0f081f473289039da13d11eb64125e0746fc72adb2bec40a73e8db55b1692aa7a4e86dd68667a30,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0012.wav,5.184,0.0,0.0,-1.936716079711914,-1.936716079711914,0.0
13,8e91a247ca7696cb0530ac8b83b477578fd91898a3bc219cff8043a98dda87ecd3764290ba9f76672a457242c7c39ed72d8ec123734ea2b3e849c02f0ad5b447,1,english_griffinlim_eval_final/real_english/english_real_0013.wav,5.868,704.0,940.0,0.4213328957557678,-5.694942474365234,-6.116275370121002
13,8e91a247ca7696cb0530ac8b83b477578fd91898a3bc219cff8043a98dda87ecd3764290ba9f76672a457242c7c39ed72d8ec123734ea2b3e849c02f0ad5b447,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0013.wav,5.868,0.0,0.0,-6.107425689697266,-6.107425689697266,0.0
14,d43f808f4c373507a4ae651689eda02e203066d3b081af35a5940015a6d6c1e7ba2751e8d62abc4b521d54574fe37cfbac6afc72089c0ccafd53c27483275ec7,1,english_griffinlim_eval_final/real_english/english_real_0014.wav,5.796,576.0,1156.0,5.569803714752197,-2.3081908226013184,-7.877994537353516
14,d43f808f4c373507a4ae651689eda02e203066d3b081af35a5940015a6d6c1e7ba2751e8d62abc4b521d54574fe37cfbac6afc72089c0ccafd53c27483275ec7,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0014.wav,5.796,0.0,0.0,-1.0707958936691284,-1.0707958936691284,0.0
15,f748c3446cc12be48e26ebea896c3422ed8c447593cb4ebea1b829cb299d1bd5fb6d9d0b08be0d399a19a66dc5241d83603859cc01caa939d3dff5059e02abce,1,english_griffinlim_eval_final/real_english/english_real_0015.wav,6.816,384.0,896.0,1.910632848739624,-5.198558330535889,-7.109191179275513
15,f748c3446cc12be48e26ebea896c3422ed8c447593cb4ebea1b829cb299d1bd5fb6d9d0b08be0d399a19a66dc5241d83603859cc01caa939d3dff5059e02abce,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0015.wav,6.816,0.0,0.0,-3.549075126647949,-3.549075126647949,0.0
16,f948443d2b457137c5ae390f985149e70a16666c61ba3b787a88c204622a5b5b90f30910bcede725f3a1fdf742bec63c99978d15d9eb10930a2641d4aff3bbea,1,english_griffinlim_eval_final/real_english/english_real_0016.wav,3.144,0.0,8.0,5.235445976257324,5.278079986572266,0.042634010314941406
16,f948443d2b457137c5ae390f985149e70a16666c61ba3b787a88c204622a5b5b90f30910bcede725f3a1fdf742bec63c99978d15d9eb10930a2641d4aff3bbea,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0016.wav,3.144,0.0,0.0,-1.383726716041565,-1.383726716041565,0.0
17,1fc06ae2858fe60314b607d8728ce36d5dcd8f22f6f13b106b6c4a346da6e0d00fa406883a1bfa9a0973fa46de07b02b471559048f76b07fd708d71dbac8907c,1,english_griffinlim_eval_final/real_english/english_real_0017.wav,3.528,64.0,200.0,-5.940998554229736,-3.8412833213806152,2.099715232849121
17,1fc06ae2858fe60314b607d8728ce36d5dcd8f22f6f13b106b6c4a346da6e0d00fa406883a1bfa9a0973fa46de07b02b471559048f76b07fd708d71dbac8907c,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0017.wav,3.528,0.0,0.0,-6.0526442527771,-6.0526442527771,0.0
18,7835d8b47d67c96f66ab4d9d0e1269cd46ab970e7a5f1adc30ef6e6129b4dc2567289113ed59273ae72a5668b903851356bc4f268043717b3fa1ad433bf651d6,1,english_griffinlim_eval_final/real_english/english_real_0018.wav,4.824,1216.0,56.0,4.10517692565918,-1.8766158819198608,-5.9817928075790405
18,7835d8b47d67c96f66ab4d9d0e1269cd46ab970e7a5f1adc30ef6e6129b4dc2567289113ed59273ae72a5668b903851356bc4f268043717b3fa1ad433bf651d6,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0018.wav,4.824,0.0,0.0,2.2813596725463867,2.2813596725463867,0.0
19,fb919534447910b303adb39567779ddf6d8fb1404aca83de7c475f8ff4ff463f85677575022253c3a6700769e3d79bf17516b72ec038e5a1b9d5f803dc6e166a,1,english_griffinlim_eval_final/real_english/english_real_0019.wav,3.264,928.0,480.0,2.049842357635498,-5.79562520980835,-7.845467567443848
19,fb919534447910b303adb39567779ddf6d8fb1404aca83de7c475f8ff4ff463f85677575022253c3a6700769e3d79bf17516b72ec038e5a1b9d5f803dc6e166a,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0019.wav,3.264,0.0,0.0,-5.450181007385254,-5.450181007385254,0.0
20,6325c76fb5e68d55674df688a91178a08ce91db4b3927b94d908b67680d9548f006ce4ca4564203006a4ffb6d5aa44dfa55bc63e6a740432bd060181c6418d42,1,english_griffinlim_eval_final/real_english/english_real_0020.wav,5.472,800.0,768.0,5.689349174499512,-3.465926170349121,-9.155275344848633
20,6325c76fb5e68d55674df688a91178a08ce91db4b3927b94d908b67680d9548f006ce4ca4564203006a4ffb6d5aa44dfa55bc63e6a740432bd060181c6418d42,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0020.wav,5.472,0.0,0.0,-4.897642135620117,-4.897642135620117,0.0
21,8796693fb19970eda73c742a411fd9fdea613f4d64d9a3b5e6c756fa7dc6648f34705ff8b294fa3543663ed6b1b6ab6f5cc2e37f278ab0b112aaa9c2de33aa20,1,english_griffinlim_eval_final/real_english/english_real_0021.wav,5.688,448.0,376.0,1.0917962789535522,-2.5885634422302246,-3.680359721183777
21,8796693fb19970eda73c742a411fd9fdea613f4d64d9a3b5e6c756fa7dc6648f34705ff8b294fa3543663ed6b1b6ab6f5cc2e37f278ab0b112aaa9c2de33aa20,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0021.wav,5.688,0.0,0.0,5.594657897949219,5.594657897949219,0.0
22,389d64208bb16616aeaefd59ad89624adf2f7cb0e68d4d97c380215b52a7eced9d0849bb269542471cf25cbddd543932c79011b751eb6d7380245a6da0eb1eff,1,english_griffinlim_eval_final/real_english/english_real_0022.wav,6.948,32.0,388.0,4.1323394775390625,3.6593050956726074,-0.4730343818664551
22,389d64208bb16616aeaefd59ad89624adf2f7cb0e68d4d97c380215b52a7eced9d0849bb269542471cf25cbddd543932c79011b751eb6d7380245a6da0eb1eff,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0022.wav,6.948,0.0,0.0,0.04111630842089653,0.04111630842089653,0.0
23,7d253c6592f60c2d569618ff419996fc9d6c62add2c6a3c8b9be36bd09e27e775a8bf4dcb99497fa8c81670ae500e79e6056106b5c34b01fd562301f0729f9e9,1,english_griffinlim_eval_final/real_english/english_real_0023.wav,7.236,1088.0,772.0,5.027508735656738,-4.452577590942383,-9.480086326599121
